,Songs,Artists
2474,Kiss,Prince
2475,Sunday Bloody Sunday,U2
2476,Psycho Killer - 2005 Remaster,Talking Heads
2477,Tainted Love,Soft Cell
2478,Little Red Corvette,Prince
2479,Family Affair - Single Version,Sly & The Family Stone
2480,Can't Get You out of My Head,Kylie Minogue
2481,Honky Tonk Women - Mono Version,The Rolling Stones
2482,Your Best American Girl,Mitski
2483,Autobahn - 2009 Remaster,Kraftwerk
2484,My Girls,Animal Collective
2485,Eleanor Rigby - Remastered,The Beatles
2486,Get It On,T. Rex
2487,There She Goes,The La's
2488,Help! - Remastered,The Beatles
2489,House Of Jealous Lovers,The Rapture
2490,Last Nite,The Strokes
2491,Le Freak,CHIC
2492,Won't Get Fooled Again - Original Album Version,The Who
2493,In My Life - Remastered,The Beatles
2494,Hurt,Johnny Cash
2495,Ms. Jackson,Outkast
2496,Walk on By,Dionne Warwick
2497,Folsom Prison Blues,Johnny Cash
2498,Sign 'O' the Times - Single Version,Prince
2499,bad guy,Billie Eilish
2500,Heroin,The Velvet Underground
2501,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2502,Thunder Road,Bruce Springsteen
2503,One,U2
2504,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2505,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2506,Yesterday - Remastered,The Beatles
2507,Dancing Queen,ABBA
2508,Summertime Blues,Eddie Cochran
2509,This Charming Man - 2011 Remaster,The Smiths
2510,Blue Suede Shoes,Carl Perkins
2511,Good Times,CHIC
2512,Pyramids,Frank Ocean
2513,My Girl - Single Version/Mono,The Temptations
2514,Paint It Black,The Rolling Stones
2515,Video Games,Lana Del Rey
2516,Rehab,Amy Winehouse
2517,Rapper's Delight - Long Version,The Sugarhill Gang
2518,The Sound of Silence - Electric Version,Simon & Garfunkel
2519,Fortunate Son,Creedence Clearwater Revival
2520,Papa's Got A Brand New Bag - Pt. 1,James Brown
2521,Bridge over Troubled Water,Simon & Garfunkel
2522,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2523,Proud Mary,Creedence Clearwater Revival
2524,Every Breath You Take - Remastered 2003,The Police
2525,Maybellene - Single Version,Chuck Berry
2526,A Whiter Shade Of Pale,Procol Harum
2527,Midnight City,M83
2528,Losing My Edge,LCD Soundsystem
2529,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2530,Eight Miles High,The Byrds
2531,Born Slippy (Nuxx),Underworld
2532,Great Balls Of Fire,Jerry Lee Lewis
2533,Green Onions,Booker T. & the M.G.'s
2534,Maps,Yeah Yeah Yeahs
2535,Umbrella,Rihanna
2536,She Loves You - Remastered,The Beatles
2537,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2538,Tangled up in Blue,Bob Dylan
2539,Maggie May,Rod Stewart
2540,Will You Still Love Me Tomorrow,The Shirelles
2541,Seasons (Waiting On You),Future Islands
2542,Creep,Radiohead
2543,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2544,Paranoid,Black Sabbath
2545,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2546,Kashmir - 1990 Remaster,Led Zeppelin
2547,Walk This Way (feat. Aerosmith),Run–D.M.C.
2548,Like a Prayer,Madonna
2549,Marquee Moon - 2003 Remaster,Television
2550,Hotline Bling,Drake
2551,Live Forever,Oasis
2552,Time to Pretend,MGMT
2553,When a Man Loves a Woman,Percy Sledge
2554,Brown Sugar,The Rolling Stones
2555,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2556,Tomorrow Never Knows - Remastered,The Beatles
2557,This Land is Your Land,Woody Guthrie
2558,"Oh, Pretty Woman",Roy Orbison
2559,Jailhouse Rock,Elvis Presley
2560,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2561,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2562,Like a Virgin,Madonna
2563,Into the Groove,Madonna
2564,Let It Happen,Tame Impala
2565,Cranes in the Sky,Solange
2566,Song 2 - 2012 Remaster,Blur
2567,Purple Rain,Prince
2568,Wuthering Heights,Kate Bush
2569,Born In The U.S.A.,Bruce Springsteen
2570,Kids,MGMT
2571,"Nuthin' But A ""G"" Thang",Dr. Dre
2572,Peggy Sue - Single Version,Buddy Holly
2573,White Rabbit,Jefferson Airplane
2574,Kiss,Prince
2575,Sunday Bloody Sunday,U2
2576,Psycho Killer - 2005 Remaster,Talking Heads
2577,Tainted Love,Soft Cell
2578,Little Red Corvette,Prince
2579,Family Affair - Single Version,Sly & The Family Stone
2580,Can't Get You out of My Head,Kylie Minogue
2581,Honky Tonk Women - Mono Version,The Rolling Stones
2582,Your Best American Girl,Mitski
2583,Autobahn - 2009 Remaster,Kraftwerk
2584,My Girls,Animal Collective
2585,Eleanor Rigby - Remastered,The Beatles
2586,Get It On,T. Rex
2587,There She Goes,The La's
2588,Help! - Remastered,The Beatles
2589,House Of Jealous Lovers,The Rapture
2590,Last Nite,The Strokes
2591,Le Freak,CHIC
2592,Won't Get Fooled Again - Original Album Version,The Who
2593,In My Life - Remastered,The Beatles
2594,Hurt,Johnny Cash
2595,Ms. Jackson,Outkast
2596,Walk on By,Dionne Warwick
2597,Folsom Prison Blues,Johnny Cash
2598,Sign 'O' the Times - Single Version,Prince
2599,bad guy,Billie Eilish
2600,Heroin,The Velvet Underground
2601,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2602,Thunder Road,Bruce Springsteen
2603,One,U2
2604,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2605,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2606,Yesterday - Remastered,The Beatles
2607,Dancing Queen,ABBA
2608,Summertime Blues,Eddie Cochran
2609,This Charming Man - 2011 Remaster,The Smiths
2610,Blue Suede Shoes,Carl Perkins
2611,Good Times,CHIC
2612,Pyramids,Frank Ocean
2613,My Girl - Single Version/Mono,The Temptations
2614,Paint It Black,The Rolling Stones
2615,Video Games,Lana Del Rey
2616,Rehab,Amy Winehouse
2617,Rapper's Delight - Long Version,The Sugarhill Gang
2618,The Sound of Silence - Electric Version,Simon & Garfunkel
2619,Fortunate Son,Creedence Clearwater Revival
2620,Papa's Got A Brand New Bag - Pt. 1,James Brown
2621,Bridge over Troubled Water,Simon & Garfunkel
2622,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2623,Proud Mary,Creedence Clearwater Revival
2624,Every Breath You Take - Remastered 2003,The Police
2625,Maybellene - Single Version,Chuck Berry
2626,A Whiter Shade Of Pale,Procol Harum
2627,Midnight City,M83
2628,Losing My Edge,LCD Soundsystem
2629,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2630,Eight Miles High,The Byrds
2631,Born Slippy (Nuxx),Underworld
2632,Great Balls Of Fire,Jerry Lee Lewis
2633,Green Onions,Booker T. & the M.G.'s
2634,Maps,Yeah Yeah Yeahs
2635,Umbrella,Rihanna
2636,She Loves You - Remastered,The Beatles
2637,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2638,Tangled up in Blue,Bob Dylan
2639,Maggie May,Rod Stewart
2640,Will You Still Love Me Tomorrow,The Shirelles
2641,Seasons (Waiting On You),Future Islands
2642,Creep,Radiohead
2643,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2644,Paranoid,Black Sabbath
2645,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2646,Kashmir - 1990 Remaster,Led Zeppelin
2647,Walk This Way (feat. Aerosmith),Run–D.M.C.
2648,Like a Prayer,Madonna
2649,Marquee Moon - 2003 Remaster,Television
2650,Hotline Bling,Drake
2651,Live Forever,Oasis
2652,Time to Pretend,MGMT
2653,When a Man Loves a Woman,Percy Sledge
2654,Brown Sugar,The Rolling Stones
2655,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2656,Tomorrow Never Knows - Remastered,The Beatles
2657,This Land is Your Land,Woody Guthrie
2658,"Oh, Pretty Woman",Roy Orbison
2659,Jailhouse Rock,Elvis Presley
2660,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2661,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2662,Like a Virgin,Madonna
2663,Into the Groove,Madonna
2664,Let It Happen,Tame Impala
2665,Cranes in the Sky,Solange
2666,Song 2 - 2012 Remaster,Blur
2667,Purple Rain,Prince
2668,Wuthering Heights,Kate Bush
2669,Born In The U.S.A.,Bruce Springsteen
2670,Kids,MGMT
2671,"Nuthin' But A ""G"" Thang",Dr. Dre
2672,Peggy Sue - Single Version,Buddy Holly
2673,White Rabbit,Jefferson Airplane
2674,Kiss,Prince
2675,Sunday Bloody Sunday,U2
2676,Psycho Killer - 2005 Remaster,Talking Heads
2677,Tainted Love,Soft Cell
2678,Little Red Corvette,Prince
2679,Family Affair - Single Version,Sly & The Family Stone
2680,Can't Get You out of My Head,Kylie Minogue
2681,Honky Tonk Women - Mono Version,The Rolling Stones
2682,Your Best American Girl,Mitski
2683,Autobahn - 2009 Remaster,Kraftwerk
2684,My Girls,Animal Collective
2685,Eleanor Rigby - Remastered,The Beatles
2686,Get It On,T. Rex
2687,There She Goes,The La's
2688,Help! - Remastered,The Beatles
2689,House Of Jealous Lovers,The Rapture
2690,Last Nite,The Strokes
2691,Le Freak,CHIC
2692,Won't Get Fooled Again - Original Album Version,The Who
2693,In My Life - Remastered,The Beatles
2694,Hurt,Johnny Cash
2695,Ms. Jackson,Outkast
2696,Walk on By,Dionne Warwick
2697,Folsom Prison Blues,Johnny Cash
2698,Sign 'O' the Times - Single Version,Prince
2699,bad guy,Billie Eilish
2700,Heroin,The Velvet Underground
2701,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2702,Thunder Road,Bruce Springsteen
2703,One,U2
2704,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2705,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2706,Yesterday - Remastered,The Beatles
2707,Dancing Queen,ABBA
2708,Summertime Blues,Eddie Cochran
2709,This Charming Man - 2011 Remaster,The Smiths
2710,Blue Suede Shoes,Carl Perkins
2711,Good Times,CHIC
2712,Pyramids,Frank Ocean
2713,My Girl - Single Version/Mono,The Temptations
2714,Paint It Black,The Rolling Stones
2715,Video Games,Lana Del Rey
2716,Rehab,Amy Winehouse
2717,Rapper's Delight - Long Version,The Sugarhill Gang
2718,The Sound of Silence - Electric Version,Simon & Garfunkel
2719,Fortunate Son,Creedence Clearwater Revival
2720,Papa's Got A Brand New Bag - Pt. 1,James Brown
2721,Bridge over Troubled Water,Simon & Garfunkel
2722,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2723,Proud Mary,Creedence Clearwater Revival
2724,Every Breath You Take - Remastered 2003,The Police
2725,Maybellene - Single Version,Chuck Berry
2726,A Whiter Shade Of Pale,Procol Harum
2727,Midnight City,M83
2728,Losing My Edge,LCD Soundsystem
2729,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2730,Eight Miles High,The Byrds
2731,Born Slippy (Nuxx),Underworld
2732,Great Balls Of Fire,Jerry Lee Lewis
2733,Green Onions,Booker T. & the M.G.'s
2734,Maps,Yeah Yeah Yeahs
2735,Umbrella,Rihanna
2736,She Loves You - Remastered,The Beatles
2737,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2738,Tangled up in Blue,Bob Dylan
2739,Maggie May,Rod Stewart
2740,Will You Still Love Me Tomorrow,The Shirelles
2741,Seasons (Waiting On You),Future Islands
2742,Creep,Radiohead
2743,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2744,Paranoid,Black Sabbath
2745,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2746,Kashmir - 1990 Remaster,Led Zeppelin
2747,Walk This Way (feat. Aerosmith),Run–D.M.C.
2748,Like a Prayer,Madonna
2749,Marquee Moon - 2003 Remaster,Television
2750,Hotline Bling,Drake
2751,Live Forever,Oasis
2752,Time to Pretend,MGMT
2753,When a Man Loves a Woman,Percy Sledge
2754,Brown Sugar,The Rolling Stones
2755,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2756,Tomorrow Never Knows - Remastered,The Beatles
2757,This Land is Your Land,Woody Guthrie
2758,"Oh, Pretty Woman",Roy Orbison
2759,Jailhouse Rock,Elvis Presley
2760,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2761,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2762,Like a Virgin,Madonna
2763,Into the Groove,Madonna
2764,Let It Happen,Tame Impala
2765,Cranes in the Sky,Solange
2766,Song 2 - 2012 Remaster,Blur
2767,Purple Rain,Prince
2768,Wuthering Heights,Kate Bush
2769,Born In The U.S.A.,Bruce Springsteen
2770,Kids,MGMT
2771,"Nuthin' But A ""G"" Thang",Dr. Dre
2772,Peggy Sue - Single Version,Buddy Holly
2773,White Rabbit,Jefferson Airplane
2774,Kiss,Prince
2775,Sunday Bloody Sunday,U2
2776,Psycho Killer - 2005 Remaster,Talking Heads
2777,Tainted Love,Soft Cell
2778,Little Red Corvette,Prince
2779,Family Affair - Single Version,Sly & The Family Stone
2780,Can't Get You out of My Head,Kylie Minogue
2781,Honky Tonk Women - Mono Version,The Rolling Stones
2782,Your Best American Girl,Mitski
2783,Autobahn - 2009 Remaster,Kraftwerk
2784,My Girls,Animal Collective
2785,Eleanor Rigby - Remastered,The Beatles
2786,Get It On,T. Rex
2787,There She Goes,The La's
2788,Help! - Remastered,The Beatles
2789,House Of Jealous Lovers,The Rapture
2790,Last Nite,The Strokes
2791,Le Freak,CHIC
2792,Won't Get Fooled Again - Original Album Version,The Who
2793,In My Life - Remastered,The Beatles
2794,Hurt,Johnny Cash
2795,Ms. Jackson,Outkast
2796,Walk on By,Dionne Warwick
2797,Folsom Prison Blues,Johnny Cash
2798,Sign 'O' the Times - Single Version,Prince
2799,bad guy,Billie Eilish
2800,Heroin,The Velvet Underground
2801,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2802,Thunder Road,Bruce Springsteen
2803,One,U2
2804,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2805,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2806,Yesterday - Remastered,The Beatles
2807,Dancing Queen,ABBA
2808,Summertime Blues,Eddie Cochran
2809,This Charming Man - 2011 Remaster,The Smiths
2810,Blue Suede Shoes,Carl Perkins
2811,Good Times,CHIC
2812,Pyramids,Frank Ocean
2813,My Girl - Single Version/Mono,The Temptations
2814,Paint It Black,The Rolling Stones
2815,Video Games,Lana Del Rey
2816,Rehab,Amy Winehouse
2817,Rapper's Delight - Long Version,The Sugarhill Gang
2818,The Sound of Silence - Electric Version,Simon & Garfunkel
2819,Fortunate Son,Creedence Clearwater Revival
2820,Papa's Got A Brand New Bag - Pt. 1,James Brown
2821,Bridge over Troubled Water,Simon & Garfunkel
2822,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2823,Proud Mary,Creedence Clearwater Revival
2824,Every Breath You Take - Remastered 2003,The Police
2825,Maybellene - Single Version,Chuck Berry
2826,A Whiter Shade Of Pale,Procol Harum
2827,Midnight City,M83
2828,Losing My Edge,LCD Soundsystem
2829,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2830,Eight Miles High,The Byrds
2831,Born Slippy (Nuxx),Underworld
2832,Great Balls Of Fire,Jerry Lee Lewis
2833,Green Onions,Booker T. & the M.G.'s
2834,Maps,Yeah Yeah Yeahs
2835,Umbrella,Rihanna
2836,She Loves You - Remastered,The Beatles
2837,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2838,Tangled up in Blue,Bob Dylan
2839,Maggie May,Rod Stewart
2840,Will You Still Love Me Tomorrow,The Shirelles
2841,Seasons (Waiting On You),Future Islands
2842,Creep,Radiohead
2843,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2844,Paranoid,Black Sabbath
2845,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2846,Kashmir - 1990 Remaster,Led Zeppelin
2847,Walk This Way (feat. Aerosmith),Run–D.M.C.
2848,Like a Prayer,Madonna
2849,Marquee Moon - 2003 Remaster,Television
2850,Hotline Bling,Drake
2851,Live Forever,Oasis
2852,Time to Pretend,MGMT
2853,When a Man Loves a Woman,Percy Sledge
2854,Brown Sugar,The Rolling Stones
2855,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2856,Tomorrow Never Knows - Remastered,The Beatles
2857,This Land is Your Land,Woody Guthrie
2858,"Oh, Pretty Woman",Roy Orbison
2859,Jailhouse Rock,Elvis Presley
2860,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2861,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2862,Like a Virgin,Madonna
2863,Into the Groove,Madonna
2864,Let It Happen,Tame Impala
2865,Cranes in the Sky,Solange
2866,Song 2 - 2012 Remaster,Blur
2867,Purple Rain,Prince
2868,Wuthering Heights,Kate Bush
2869,Born In The U.S.A.,Bruce Springsteen
2870,Kids,MGMT
2871,"Nuthin' But A ""G"" Thang",Dr. Dre
2872,Peggy Sue - Single Version,Buddy Holly
2873,White Rabbit,Jefferson Airplane
2874,Kiss,Prince
2875,Sunday Bloody Sunday,U2
2876,Psycho Killer - 2005 Remaster,Talking Heads
2877,Tainted Love,Soft Cell
2878,Little Red Corvette,Prince
2879,Family Affair - Single Version,Sly & The Family Stone
2880,Can't Get You out of My Head,Kylie Minogue
2881,Honky Tonk Women - Mono Version,The Rolling Stones
2882,Your Best American Girl,Mitski
2883,Autobahn - 2009 Remaster,Kraftwerk
2884,My Girls,Animal Collective
2885,Eleanor Rigby - Remastered,The Beatles
2886,Get It On,T. Rex
2887,There She Goes,The La's
2888,Help! - Remastered,The Beatles
2889,House Of Jealous Lovers,The Rapture
2890,Last Nite,The Strokes
2891,Le Freak,CHIC
2892,Won't Get Fooled Again - Original Album Version,The Who
2893,In My Life - Remastered,The Beatles
2894,Hurt,Johnny Cash
2895,Ms. Jackson,Outkast
2896,Walk on By,Dionne Warwick
2897,Folsom Prison Blues,Johnny Cash
2898,Sign 'O' the Times - Single Version,Prince
2899,bad guy,Billie Eilish
2900,Heroin,The Velvet Underground
2901,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
2902,Thunder Road,Bruce Springsteen
2903,One,U2
2904,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
2905,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
2906,Yesterday - Remastered,The Beatles
2907,Dancing Queen,ABBA
2908,Summertime Blues,Eddie Cochran
2909,This Charming Man - 2011 Remaster,The Smiths
2910,Blue Suede Shoes,Carl Perkins
2911,Good Times,CHIC
2912,Pyramids,Frank Ocean
2913,My Girl - Single Version/Mono,The Temptations
2914,Paint It Black,The Rolling Stones
2915,Video Games,Lana Del Rey
2916,Rehab,Amy Winehouse
2917,Rapper's Delight - Long Version,The Sugarhill Gang
2918,The Sound of Silence - Electric Version,Simon & Garfunkel
2919,Fortunate Son,Creedence Clearwater Revival
2920,Papa's Got A Brand New Bag - Pt. 1,James Brown
2921,Bridge over Troubled Water,Simon & Garfunkel
2922,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
2923,Proud Mary,Creedence Clearwater Revival
2924,Every Breath You Take - Remastered 2003,The Police
2925,Maybellene - Single Version,Chuck Berry
2926,A Whiter Shade Of Pale,Procol Harum
2927,Midnight City,M83
2928,Losing My Edge,LCD Soundsystem
2929,I'm So Lonesome I Could Cry - Single Version,Hank Williams
2930,Eight Miles High,The Byrds
2931,Born Slippy (Nuxx),Underworld
2932,Great Balls Of Fire,Jerry Lee Lewis
2933,Green Onions,Booker T. & the M.G.'s
2934,Maps,Yeah Yeah Yeahs
2935,Umbrella,Rihanna
2936,She Loves You - Remastered,The Beatles
2937,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
2938,Tangled up in Blue,Bob Dylan
2939,Maggie May,Rod Stewart
2940,Will You Still Love Me Tomorrow,The Shirelles
2941,Seasons (Waiting On You),Future Islands
2942,Creep,Radiohead
2943,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
2944,Paranoid,Black Sabbath
2945,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
2946,Kashmir - 1990 Remaster,Led Zeppelin
2947,Walk This Way (feat. Aerosmith),Run–D.M.C.
2948,Like a Prayer,Madonna
2949,Marquee Moon - 2003 Remaster,Television
2950,Hotline Bling,Drake
2951,Live Forever,Oasis
2952,Time to Pretend,MGMT
2953,When a Man Loves a Woman,Percy Sledge
2954,Brown Sugar,The Rolling Stones
2955,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
2956,Tomorrow Never Knows - Remastered,The Beatles
2957,This Land is Your Land,Woody Guthrie
2958,"Oh, Pretty Woman",Roy Orbison
2959,Jailhouse Rock,Elvis Presley
2960,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
2961,I Bet You Look Good On The Dancefloor,Arctic Monkeys
2962,Like a Virgin,Madonna
2963,Into the Groove,Madonna
2964,Let It Happen,Tame Impala
2965,Cranes in the Sky,Solange
2966,Song 2 - 2012 Remaster,Blur
2967,Purple Rain,Prince
2968,Wuthering Heights,Kate Bush
2969,Born In The U.S.A.,Bruce Springsteen
2970,Kids,MGMT
2971,"Nuthin' But A ""G"" Thang",Dr. Dre
2972,Peggy Sue - Single Version,Buddy Holly
2973,White Rabbit,Jefferson Airplane
2974,Kiss,Prince
2975,Sunday Bloody Sunday,U2
2976,Psycho Killer - 2005 Remaster,Talking Heads
2977,Tainted Love,Soft Cell
2978,Little Red Corvette,Prince
2979,Family Affair - Single Version,Sly & The Family Stone
2980,Can't Get You out of My Head,Kylie Minogue
2981,Honky Tonk Women - Mono Version,The Rolling Stones
2982,Your Best American Girl,Mitski
2983,Autobahn - 2009 Remaster,Kraftwerk
2984,My Girls,Animal Collective
2985,Eleanor Rigby - Remastered,The Beatles
2986,Get It On,T. Rex
2987,There She Goes,The La's
2988,Help! - Remastered,The Beatles
2989,House Of Jealous Lovers,The Rapture
2990,Last Nite,The Strokes
2991,Le Freak,CHIC
2992,Won't Get Fooled Again - Original Album Version,The Who
2993,In My Life - Remastered,The Beatles
2994,Hurt,Johnny Cash
2995,Ms. Jackson,Outkast
2996,Walk on By,Dionne Warwick
2997,Folsom Prison Blues,Johnny Cash
2998,Sign 'O' the Times - Single Version,Prince
2999,bad guy,Billie Eilish
3000,Heroin,The Velvet Underground
3001,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
3002,Thunder Road,Bruce Springsteen
3003,One,U2
3004,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
3005,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
3006,Yesterday - Remastered,The Beatles
3007,Dancing Queen,ABBA
3008,Summertime Blues,Eddie Cochran
3009,This Charming Man - 2011 Remaster,The Smiths
3010,Blue Suede Shoes,Carl Perkins
3011,Good Times,CHIC
3012,Pyramids,Frank Ocean
3013,My Girl - Single Version/Mono,The Temptations
3014,Paint It Black,The Rolling Stones
3015,Video Games,Lana Del Rey
3016,Rehab,Amy Winehouse
3017,Rapper's Delight - Long Version,The Sugarhill Gang
3018,The Sound of Silence - Electric Version,Simon & Garfunkel
3019,Fortunate Son,Creedence Clearwater Revival
3020,Papa's Got A Brand New Bag - Pt. 1,James Brown
3021,Bridge over Troubled Water,Simon & Garfunkel
3022,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
3023,Proud Mary,Creedence Clearwater Revival
3024,Every Breath You Take - Remastered 2003,The Police
3025,Maybellene - Single Version,Chuck Berry
3026,A Whiter Shade Of Pale,Procol Harum
3027,Midnight City,M83
3028,Losing My Edge,LCD Soundsystem
3029,I'm So Lonesome I Could Cry - Single Version,Hank Williams
3030,Eight Miles High,The Byrds
3031,Born Slippy (Nuxx),Underworld
3032,Great Balls Of Fire,Jerry Lee Lewis
3033,Green Onions,Booker T. & the M.G.'s
3034,Maps,Yeah Yeah Yeahs
3035,Umbrella,Rihanna
3036,She Loves You - Remastered,The Beatles
3037,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
3038,Tangled up in Blue,Bob Dylan
3039,Maggie May,Rod Stewart
3040,Will You Still Love Me Tomorrow,The Shirelles
3041,Seasons (Waiting On You),Future Islands
3042,Creep,Radiohead
3043,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
3044,Paranoid,Black Sabbath
3045,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
3046,Kashmir - 1990 Remaster,Led Zeppelin
3047,Walk This Way (feat. Aerosmith),Run–D.M.C.
3048,Like a Prayer,Madonna
3049,Marquee Moon - 2003 Remaster,Television
3050,Hotline Bling,Drake
3051,Live Forever,Oasis
3052,Time to Pretend,MGMT
3053,When a Man Loves a Woman,Percy Sledge
3054,Brown Sugar,The Rolling Stones
3055,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
3056,Tomorrow Never Knows - Remastered,The Beatles
3057,This Land is Your Land,Woody Guthrie
3058,"Oh, Pretty Woman",Roy Orbison
3059,Jailhouse Rock,Elvis Presley
3060,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
3061,I Bet You Look Good On The Dancefloor,Arctic Monkeys
3062,Like a Virgin,Madonna
3063,Into the Groove,Madonna
3064,Let It Happen,Tame Impala
3065,Cranes in the Sky,Solange
3066,Song 2 - 2012 Remaster,Blur
3067,Purple Rain,Prince
3068,Wuthering Heights,Kate Bush
3069,Born In The U.S.A.,Bruce Springsteen
3070,Kids,MGMT
3071,"Nuthin' But A ""G"" Thang",Dr. Dre
3072,Peggy Sue - Single Version,Buddy Holly
3073,White Rabbit,Jefferson Airplane
3074,Kiss,Prince
3075,Sunday Bloody Sunday,U2
3076,Psycho Killer - 2005 Remaster,Talking Heads
3077,Tainted Love,Soft Cell
3078,Little Red Corvette,Prince
3079,Family Affair - Single Version,Sly & The Family Stone
3080,Can't Get You out of My Head,Kylie Minogue
3081,Honky Tonk Women - Mono Version,The Rolling Stones
3082,Your Best American Girl,Mitski
3083,Autobahn - 2009 Remaster,Kraftwerk
3084,My Girls,Animal Collective
3085,Eleanor Rigby - Remastered,The Beatles
3086,Get It On,T. Rex
3087,There She Goes,The La's
3088,Help! - Remastered,The Beatles
3089,House Of Jealous Lovers,The Rapture
3090,Last Nite,The Strokes
3091,Le Freak,CHIC
3092,Won't Get Fooled Again - Original Album Version,The Who
3093,In My Life - Remastered,The Beatles
3094,Hurt,Johnny Cash
3095,Ms. Jackson,Outkast
3096,Walk on By,Dionne Warwick
3097,Folsom Prison Blues,Johnny Cash
3098,Sign 'O' the Times - Single Version,Prince
3099,bad guy,Billie Eilish
3100,Heroin,The Velvet Underground
3101,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
3102,Thunder Road,Bruce Springsteen
3103,One,U2
3104,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
3105,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
3106,Yesterday - Remastered,The Beatles
3107,Dancing Queen,ABBA
3108,Summertime Blues,Eddie Cochran
3109,This Charming Man - 2011 Remaster,The Smiths
3110,Blue Suede Shoes,Carl Perkins
3111,Good Times,CHIC
3112,Pyramids,Frank Ocean
3113,My Girl - Single Version/Mono,The Temptations
3114,Paint It Black,The Rolling Stones
3115,Video Games,Lana Del Rey
3116,Rehab,Amy Winehouse
3117,Rapper's Delight - Long Version,The Sugarhill Gang
3118,The Sound of Silence - Electric Version,Simon & Garfunkel
3119,Fortunate Son,Creedence Clearwater Revival
3120,Papa's Got A Brand New Bag - Pt. 1,James Brown
