,Songs,Artists
1745,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
1746,Kashmir - 1990 Remaster,Led Zeppelin
1747,Walk This Way (feat. Aerosmith),Run–D.M.C.
1748,Like a Prayer,Madonna
1749,Marquee Moon - 2003 Remaster,Television
1750,Hotline Bling,Drake
1751,Live Forever,Oasis
1752,Time to Pretend,MGMT
1753,When a Man Loves a Woman,Percy Sledge
1754,Brown Sugar,The Rolling Stones
1755,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
1756,Tomorrow Never Knows - Remastered,The Beatles
1757,This Land is Your Land,Woody Guthrie
1758,"Oh, Pretty Woman",Roy Orbison
1759,Jailhouse Rock,Elvis Presley
1760,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
1761,I Bet You Look Good On The Dancefloor,Arctic Monkeys
1762,Like a Virgin,Madonna
1763,Into the Groove,Madonna
1764,Let It Happen,Tame Impala
1765,Cranes in the Sky,Solange
1766,Song 2 - 2012 Remaster,Blur
1767,Purple Rain,Prince
1768,Wuthering Heights,Kate Bush
1769,Born In The U.S.A.,Bruce Springsteen
1770,Kids,MGMT
1771,"Nuthin' But A ""G"" Thang",Dr. Dre
1772,Peggy Sue - Single Version,Buddy Holly
1773,White Rabbit,Jefferson Airplane
1774,Kiss,Prince
1775,Sunday Bloody Sunday,U2
1776,Psycho Killer - 2005 Remaster,Talking Heads
1777,Tainted Love,Soft Cell
1778,Little Red Corvette,Prince
1779,Family Affair - Single Version,Sly & The Family Stone
1780,Can't Get You out of My Head,Kylie Minogue
1781,Honky Tonk Women - Mono Version,The Rolling Stones
1782,Your Best American Girl,Mitski
1783,Autobahn - 2009 Remaster,Kraftwerk
1784,My Girls,Animal Collective
1785,Eleanor Rigby - Remastered,The Beatles
1786,Get It On,T. Rex
1787,There She Goes,The La's
1788,Help! - Remastered,The Beatles
1789,House Of Jealous Lovers,The Rapture
1790,Last Nite,The Strokes
1791,Le Freak,CHIC
1792,Won't Get Fooled Again - Original Album Version,The Who
1793,In My Life - Remastered,The Beatles
1794,Hurt,Johnny Cash
1795,Ms. Jackson,Outkast
1796,Walk on By,Dionne Warwick
1797,Folsom Prison Blues,Johnny Cash
1798,Sign 'O' the Times - Single Version,Prince
1799,bad guy,Billie Eilish
1800,Heroin,The Velvet Underground
1801,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
1802,Thunder Road,Bruce Springsteen
1803,One,U2
1804,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
1805,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
1806,Yesterday - Remastered,The Beatles
1807,Dancing Queen,ABBA
1808,Summertime Blues,Eddie Cochran
1809,This Charming Man - 2011 Remaster,The Smiths
1810,Blue Suede Shoes,Carl Perkins
1811,Good Times,CHIC
1812,Pyramids,Frank Ocean
1813,My Girl - Single Version/Mono,The Temptations
1814,Paint It Black,The Rolling Stones
1815,Video Games,Lana Del Rey
1816,Rehab,Amy Winehouse
1817,Rapper's Delight - Long Version,The Sugarhill Gang
1818,The Sound of Silence - Electric Version,Simon & Garfunkel
1819,Fortunate Son,Creedence Clearwater Revival
1820,Papa's Got A Brand New Bag - Pt. 1,James Brown
1821,Bridge over Troubled Water,Simon & Garfunkel
1822,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
1823,Proud Mary,Creedence Clearwater Revival
1824,Every Breath You Take - Remastered 2003,The Police
1825,Maybellene - Single Version,Chuck Berry
1826,A Whiter Shade Of Pale,Procol Harum
1827,Midnight City,M83
1828,Losing My Edge,LCD Soundsystem
1829,I'm So Lonesome I Could Cry - Single Version,Hank Williams
1830,Eight Miles High,The Byrds
1831,Born Slippy (Nuxx),Underworld
1832,Great Balls Of Fire,Jerry Lee Lewis
1833,Green Onions,Booker T. & the M.G.'s
1834,Maps,Yeah Yeah Yeahs
1835,Umbrella,Rihanna
1836,She Loves You - Remastered,The Beatles
1837,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
1838,Tangled up in Blue,Bob Dylan
1839,Maggie May,Rod Stewart
1840,Will You Still Love Me Tomorrow,The Shirelles
1841,Seasons (Waiting On You),Future Islands
1842,Creep,Radiohead
1843,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
1844,Paranoid,Black Sabbath
1845,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
1846,Kashmir - 1990 Remaster,Led Zeppelin
1847,Walk This Way (feat. Aerosmith),Run–D.M.C.
1848,Like a Prayer,Madonna
1849,Marquee Moon - 2003 Remaster,Television
1850,Hotline Bling,Drake
1851,Live Forever,Oasis
1852,Time to Pretend,MGMT
1853,When a Man Loves a Woman,Percy Sledge
1854,Brown Sugar,The Rolling Stones
1855,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
1856,Tomorrow Never Knows - Remastered,The Beatles
1857,This Land is Your Land,Woody Guthrie
1858,"Oh, Pretty Woman",Roy Orbison
1859,Jailhouse Rock,Elvis Presley
1860,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
1861,I Bet You Look Good On The Dancefloor,Arctic Monkeys
1862,Like a Virgin,Madonna
1863,Into the Groove,Madonna
1864,Let It Happen,Tame Impala
1865,Cranes in the Sky,Solange
1866,Song 2 - 2012 Remaster,Blur
1867,Purple Rain,Prince
1868,Wuthering Heights,Kate Bush
1869,Born In The U.S.A.,Bruce Springsteen
1870,Kids,MGMT
1871,"Nuthin' But A ""G"" Thang",Dr. Dre
1872,Peggy Sue - Single Version,Buddy Holly
1873,White Rabbit,Jefferson Airplane
1874,Kiss,Prince
1875,Sunday Bloody Sunday,U2
1876,Psycho Killer - 2005 Remaster,Talking Heads
1877,Tainted Love,Soft Cell
1878,Little Red Corvette,Prince
1879,Family Affair - Single Version,Sly & The Family Stone
1880,Can't Get You out of My Head,Kylie Minogue
1881,Honky Tonk Women - Mono Version,The Rolling Stones
1882,Your Best American Girl,Mitski
1883,Autobahn - 2009 Remaster,Kraftwerk
1884,My Girls,Animal Collective
1885,Eleanor Rigby - Remastered,The Beatles
1886,Get It On,T. Rex
1887,There She Goes,The La's
1888,Help! - Remastered,The Beatles
1889,House Of Jealous Lovers,The Rapture
1890,Last Nite,The Strokes
1891,Le Freak,CHIC
1892,Won't Get Fooled Again - Original Album Version,The Who
1893,In My Life - Remastered,The Beatles
1894,Hurt,Johnny Cash
1895,Ms. Jackson,Outkast
1896,Walk on By,Dionne Warwick
1897,Folsom Prison Blues,Johnny Cash
1898,Sign 'O' the Times - Single Version,Prince
1899,bad guy,Billie Eilish
1900,Heroin,The Velvet Underground
1901,Whole Lotta Shakin' Goin' On,Jerry Lee Lewis
1902,Thunder Road,Bruce Springsteen
1903,One,U2
1904,I'm Waiting For The Man - Album Version (Stereo),The Velvet Underground
1905,The Tracks Of My Tears - Single Version / Mono,Smokey Robinson & The Miracles
1906,Yesterday - Remastered,The Beatles
1907,Dancing Queen,ABBA
1908,Summertime Blues,Eddie Cochran
1909,This Charming Man - 2011 Remaster,The Smiths
1910,Blue Suede Shoes,Carl Perkins
1911,Good Times,CHIC
1912,Pyramids,Frank Ocean
1913,My Girl - Single Version/Mono,The Temptations
1914,Paint It Black,The Rolling Stones
1915,Video Games,Lana Del Rey
1916,Rehab,Amy Winehouse
1917,Rapper's Delight - Long Version,The Sugarhill Gang
1918,The Sound of Silence - Electric Version,Simon & Garfunkel
1919,Fortunate Son,Creedence Clearwater Revival
1920,Papa's Got A Brand New Bag - Pt. 1,James Brown
1921,Bridge over Troubled Water,Simon & Garfunkel
1922,"No Woman, No Cry - Live At The Lyceum, London/1975",Bob Marley & The Wailers
1923,Proud Mary,Creedence Clearwater Revival
1924,Every Breath You Take - Remastered 2003,The Police
1925,Maybellene - Single Version,Chuck Berry
1926,A Whiter Shade Of Pale,Procol Harum
1927,Midnight City,M83
1928,Losing My Edge,LCD Soundsystem
1929,I'm So Lonesome I Could Cry - Single Version,Hank Williams
1930,Eight Miles High,The Byrds
1931,Born Slippy (Nuxx),Underworld
1932,Great Balls Of Fire,Jerry Lee Lewis
1933,Green Onions,Booker T. & the M.G.'s
1934,Maps,Yeah Yeah Yeahs
1935,Umbrella,Rihanna
1936,She Loves You - Remastered,The Beatles
1937,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bee Gees
1938,Tangled up in Blue,Bob Dylan
1939,Maggie May,Rod Stewart
1940,Will You Still Love Me Tomorrow,The Shirelles
1941,Seasons (Waiting On You),Future Islands
1942,Creep,Radiohead
1943,Be-Bop-A-Lula,Gene Vincent & His Blue Caps
1944,Paranoid,Black Sabbath
1945,Heart Of Glass [24-Bit Digitally Remastered 01],Blondie
1946,Kashmir - 1990 Remaster,Led Zeppelin
1947,Walk This Way (feat. Aerosmith),Run–D.M.C.
1948,Like a Prayer,Madonna
1949,Marquee Moon - 2003 Remaster,Television
1950,Hotline Bling,Drake
1951,Live Forever,Oasis
1952,Time to Pretend,MGMT
1953,When a Man Loves a Woman,Percy Sledge
1954,Brown Sugar,The Rolling Stones
1955,"Over the Rainbow (From ""The Wizard of Oz"")",Herbert Stothart
1956,Tomorrow Never Knows - Remastered,The Beatles
1957,This Land is Your Land,Woody Guthrie
1958,"Oh, Pretty Woman",Roy Orbison
1959,Jailhouse Rock,Elvis Presley
1960,Empire State Of Mind [Jay-Z + Alicia Keys],JAY-Z
1961,I Bet You Look Good On The Dancefloor,Arctic Monkeys
1962,Like a Virgin,Madonna
1963,Into the Groove,Madonna
1964,Let It Happen,Tame Impala
1965,Cranes in the Sky,Solange
1966,Song 2 - 2012 Remaster,Blur
1967,Purple Rain,Prince
1968,Wuthering Heights,Kate Bush
1969,Born In The U.S.A.,Bruce Springsteen
1970,Kids,MGMT
1971,"Nuthin' But A ""G"" Thang",Dr. Dre
1972,Peggy Sue - Single Version,Buddy Holly
1973,White Rabbit,Jefferson Airplane
1974,Kiss,Prince
1975,Sunday Bloody Sunday,U2
