,Danceability,Key,Loudness,Speechiness,Instrumentalness,Liveness,Valence,Tempo
158,0.389,9,-6.546,0.0442,0.0,0.463,0.524,171.121
159,0.77,9,-9.013,0.145,2.34e-06,0.122,0.897,90.984
160,0.404,1,-3.88,0.0668,0.297,0.287,0.498,115.672
161,0.324,3,-11.12,0.0451,8.47e-05,0.109,0.308,83.901
162,0.592,7,-5.637,0.0316,0.141,0.394,0.717,114.348
163,0.595,6,-10.455,0.117,0.000135,0.383,0.823,85.387
164,0.798,2,-13.001,0.255,2.34e-06,0.473,0.381,105.979
165,0.644,2,-6.289,0.0561,0.134,0.622,0.871,117.459
166,0.328,5,-8.651,0.0476,0.00876,0.198,0.274,125.75
167,0.401,9,-11.171,0.437,0.0391,0.164,0.406,87.979
168,0.796,7,-5.974,0.238,0.0,0.0827,0.558,110.034
169,0.316,9,-9.11,0.0308,0.00445,0.0912,0.299,117.363
170,0.564,0,-19.746,0.105,0.000204,0.0896,0.376,104.5
171,0.55,2,-7.619,0.0258,0.00127,0.106,0.543,147.617
172,0.494,6,-4.297,0.398,0.0,0.103,0.548,89.554
173,0.687,6,-4.663,0.0349,0.225,0.0966,0.261,117.015
174,0.896,5,-6.857,0.237,0.0,0.196,0.818,121.966
175,0.762,5,-18.114,0.0551,0.0137,0.0663,0.558,101.57
176,0.575,3,-8.003,0.0654,0.238,0.0724,0.693,137.335
177,0.701,2,-5.611,0.0425,0.625,0.0977,0.795,142.584
178,0.554,1,-10.226,0.0342,0.0,0.0486,0.597,112.749
179,0.535,9,-5.073,0.0484,0.171,0.0852,0.962,176.241
180,0.543,11,-5.973,0.0359,0.000858,0.32,0.685,126.157
181,0.355,0,-9.338,0.0498,0.00309,0.805,0.946,176.708
182,0.697,2,-8.838,0.0338,0.901,0.0895,0.486,155.974
183,0.492,7,-6.348,0.0395,4.47e-06,0.354,0.926,130.97
184,0.438,8,-6.237,0.0624,5.69e-05,0.0842,0.564,113.253
185,0.511,5,-7.016,0.0273,2.33e-05,0.105,0.161,119.917
186,0.398,11,-6.76,0.0615,0.121,0.0874,0.725,190.818
187,0.45,6,-7.736,0.046,0.108,0.102,0.689,125.072
188,0.653,2,-10.164,0.0497,0.0209,0.101,0.822,98.883
189,0.63,9,-10.997,0.0528,4.3e-06,0.0974,0.502,143.942
190,0.383,1,-3.765,0.103,0.00184,0.517,0.103,86.522
191,0.666,0,-11.691,0.0926,0.702,0.341,0.898,73.687
192,0.674,7,-9.504,0.122,0.0,0.132,0.337,84.878
193,0.794,6,-8.966,0.038,1.07e-06,0.101,0.862,116.047
194,0.477,7,-11.225,0.03,3.49e-06,0.453,0.688,116.393
195,0.44,10,-7.859,0.0369,1.03e-05,0.171,0.373,121.398
196,0.619,3,-3.521,0.0317,0.0,0.27,0.73,119.538
197,0.649,2,-7.875,0.0324,4.92e-05,0.176,0.658,105.048
198,0.825,10,-4.663,0.108,4.58e-05,0.267,0.847,108.352
199,0.413,2,-5.593,0.0362,0.0,0.124,0.481,174.423
200,0.209,1,-10.12,0.0956,0.798,0.0999,0.251,145.233
201,0.35,0,-11.34,0.0317,2.03e-05,0.171,0.562,163.654
202,0.374,5,-10.836,0.0347,1.23e-06,0.25,0.649,140.267
203,0.544,0,-8.624,0.0294,0.00197,0.114,0.339,90.472
204,0.68,7,-9.642,0.0469,0.868,0.146,0.863,125.894
205,0.521,7,-7.72,0.0292,0.0,0.33,0.709,95.793
206,0.332,5,-11.83,0.0326,0.0,0.0886,0.315,96.529
207,0.543,9,-6.514,0.0428,0.000939,0.792,0.754,100.804
208,0.721,11,-10.32,0.0448,0.000326,0.198,0.966,155.968
209,0.611,11,-5.9,0.0436,0.0,0.0784,0.751,103.912
210,0.516,2,-8.206,0.034,0.000986,0.191,0.965,168.795
211,0.87,2,-7.32,0.0522,0.0102,0.053,0.893,110.596
212,0.4,5,-6.104,0.0466,7.62e-05,0.791,0.15,107.989
213,0.571,0,-4.75,0.0453,0.0,0.257,0.572,105.014
214,0.504,5,-7.799,0.0938,0.0419,0.359,0.736,159.508
215,0.236,6,-9.595,0.0348,1e-06,0.087,0.181,72.847
216,0.42,0,-2.963,0.0685,2.17e-06,0.568,0.728,72.858
217,0.847,9,-8.51,0.296,0.0,0.393,0.884,111.045
218,0.44,6,-9.712,0.0284,1.03e-06,0.118,0.543,107.744
219,0.648,0,-7.461,0.0392,0.00456,0.143,0.667,132.729
220,0.761,4,-5.672,0.104,0.148,0.0826,0.89,130.311
221,0.316,3,-14.099,0.0275,0.000649,0.121,0.233,82.814
222,0.649,1,-9.35,0.0638,0.0351,0.726,0.587,78.535
223,0.699,2,-7.564,0.0289,0.000218,0.0601,0.728,120.745
224,0.82,1,-9.796,0.0348,0.00294,0.0701,0.74,117.401
225,0.757,0,-10.692,0.139,0.0,0.191,0.771,118.181
226,0.305,0,-8.839,0.0336,0.000546,0.184,0.36,74.586
227,0.507,11,-5.399,0.0393,1.4e-06,0.0658,0.272,105.013
228,0.769,5,-8.717,0.0634,0.631,0.331,0.893,116.168
229,0.667,4,-12.918,0.0298,0.0025,0.132,0.659,111.088
230,0.364,9,-10.492,0.0757,0.136,0.503,0.37,130.602
231,0.576,10,-8.968,0.0362,0.49,0.474,0.303,140.042
232,0.563,10,-15.044,0.0638,0.0,0.526,0.849,79.436
233,0.788,10,-15.179,0.0346,0.906,0.102,0.892,138.205
234,0.523,7,-5.972,0.0619,0.201,0.544,0.164,119.839
235,0.583,1,-4.603,0.134,0.0,0.0426,0.575,174.028
236,0.391,7,-5.939,0.0437,0.0,0.154,0.924,75.546
237,0.704,10,-7.131,0.0358,0.00492,0.147,0.923,103.555
238,0.421,9,-13.126,0.0433,1.16e-06,0.0962,0.554,100.965
239,0.605,2,-10.536,0.0377,0.113,0.0684,0.543,129.449
240,0.574,0,-7.847,0.0314,3.36e-05,0.302,0.648,136.927
241,0.498,10,-5.232,0.0282,0.7,0.0933,0.589,140.027
242,0.532,7,-13.057,0.035,0.000473,0.115,0.126,91.834
243,0.607,9,-10.099,0.0425,0.0,0.298,0.841,127.638
244,0.418,6,-11.297,0.082,0.00113,0.173,0.379,162.663
245,0.662,9,-7.793,0.0433,0.0233,0.0689,0.657,115.007
246,0.48,2,-11.166,0.0427,4.22e-05,0.155,0.581,80.617
247,0.761,9,-7.989,0.0604,0.000101,0.0652,0.947,105.448
248,0.66,5,-12.359,0.0387,7.3e-05,0.172,0.324,111.926
249,0.494,7,-7.543,0.0397,0.449,0.0849,0.737,118.194
250,0.896,2,-8.008,0.0571,0.000258,0.039,0.585,134.962
251,0.143,9,-5.442,0.0354,7.09e-06,0.371,0.229,90.063
252,0.438,2,-3.249,0.0452,0.0777,0.3,0.421,100.99
253,0.516,1,-20.41,0.0272,0.0755,0.122,0.205,97.398
254,0.65,0,-6.721,0.031,0.00032,0.0773,0.965,128.56
255,0.244,8,-21.155,0.0409,0.000137,0.15,0.226,81.165
256,0.38,5,-6.105,0.0405,0.00208,0.342,0.0534,125.887
257,0.497,3,-15.685,0.0704,0.00214,0.133,0.548,206.431
258,0.693,6,-14.338,0.0346,4.72e-06,0.0985,0.97,125.34
259,0.654,10,-8.562,0.0818,1.08e-06,0.0608,0.9,166.841
260,0.495,11,-3.977,0.395,0.0,0.503,0.815,173.414
261,0.535,6,-4.19,0.0356,0.0,0.376,0.778,103.183
262,0.771,3,-10.842,0.0372,0.00197,0.0685,0.97,119.747
263,0.729,10,-4.164,0.035,0.00832,0.0691,0.804,116.467
264,0.602,1,-5.875,0.0443,0.0266,0.111,0.577,125.012
265,0.719,6,-5.972,0.045,0.000147,0.235,0.465,96.988
266,0.674,8,-6.903,0.0676,0.00708,0.0753,0.918,129.802
267,0.371,10,-8.736,0.0315,0.00591,0.677,0.183,112.923
268,0.481,1,-11.381,0.0312,0.0452,0.124,0.52,124.572
269,0.397,4,-12.156,0.0569,2.49e-05,0.35,0.512,121.856
270,0.451,9,-3.871,0.0719,0.0049,0.361,0.172,122.961
271,0.801,11,-8.18,0.279,0.0,0.146,0.655,94.605
272,0.659,9,-7.912,0.0296,0.0,0.179,0.602,149.126
273,0.551,2,-12.503,0.0272,0.000273,0.0864,0.322,106.798
274,0.898,7,-12.238,0.091,0.00138,0.0461,0.742,111.485
275,0.543,6,-8.85,0.0505,0.000662,0.0446,0.752,101.678
276,0.721,2,-8.123,0.0613,0.00545,0.127,0.942,123.118
277,0.5,0,-8.284,0.0376,0.0,0.26,0.623,144.438
278,0.748,1,-9.721,0.111,3.31e-05,0.632,0.709,123.144
