,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
1730,Baker Street,Gerry Rafferty,5gOd6zDC8vhlYjqbQdJVWP,https://open.spotify.com/track/5gOd6zDC8vhlYjqbQdJVWP,0.497,0.349,7,-14.0,1,0.0297,0.028,0.259,0.421,113.762,365627,4
1731,Get Free (feat. Amber Coffman),Major Lazer,085XpQzAKm4nAfcfRp2get,https://open.spotify.com/track/085XpQzAKm4nAfcfRp2get,0.525,0.538,11,-9.366,0,0.0783,0.117,0.095,0.802,175.953,291162,4
1732,Ladies and Gentlemen We Are Floating in Space,Spiritualized,4aUCovTNe98WnwE6AIl0pU,https://open.spotify.com/track/4aUCovTNe98WnwE6AIl0pU,0.378,0.409,2,-11.468,1,0.0337,0.000528,0.234,0.184,100.087,234053,3
1733,Bulletproof,La Roux,3pU3mRumn5rWii1rKNu1eV,https://open.spotify.com/track/3pU3mRumn5rWii1rKNu1eV,0.674,0.882,3,-2.771,0,0.0477,6.47e-05,0.068,0.682,123.016,205733,4
1734,Maybe,Various Artists,4kFgaDWHwuP7OBmPKhOSzd,https://open.spotify.com/track/4kFgaDWHwuP7OBmPKhOSzd,0.269,0.358,10,-8.511,1,0.032,0.00138,0.112,0.38,205.842,170852,3
1735,Me & My Dog,Julien Baker,4q9w3UGW3utmeUruBLUoZZ,https://open.spotify.com/track/4q9w3UGW3utmeUruBLUoZZ,0.485,0.513,0,-8.912,1,0.0238,0.00805,0.121,0.192,93.997,206465,4
1736,Make Me Smile (Come Up And See Me),Steve Harley,4uNT0flZ6k8iUi1g5NPY3h,https://open.spotify.com/track/4uNT0flZ6k8iUi1g5NPY3h,0.58,0.691,0,-12.288,1,0.0333,7.62e-05,0.134,0.822,141.385,241160,4
1737,Ol' Man River,Paul Robeson,1yA0l37wwpnlyX4Ta6vei2,https://open.spotify.com/track/1yA0l37wwpnlyX4Ta6vei2,0.357,0.261,10,-12.104,1,0.0312,0.0314,0.0907,0.513,89.09,159800,4
1738,Matchbox Blues,Blind Lemon Jefferson,5EdGWBR6OhOcfYjl5ygDE3,https://open.spotify.com/track/5EdGWBR6OhOcfYjl5ygDE3,0.546,0.347,8,-10.263,1,0.047,9.71e-05,0.0918,0.596,76.514,174520,4
1739,Emerge,Fischerspooner,3vyKSb9sAdXl0kQ1KnS9fY,https://open.spotify.com/track/3vyKSb9sAdXl0kQ1KnS9fY,0.607,0.734,10,-7.622,1,0.0445,0.812,0.0925,0.569,147.941,288307,4
1740,The Drowners (Remastered),Suede,3rGj4Y2nIBehsEmU1w8XvV,https://open.spotify.com/track/3rGj4Y2nIBehsEmU1w8XvV,0.44,0.906,8,-4.78,1,0.0392,0.0,0.0875,0.652,148.111,250160,4
1741,Back In the Saddle Again,Various Artists,43ZkV4OT05cB27GFdBjyHD,https://open.spotify.com/track/43ZkV4OT05cB27GFdBjyHD,0.769,0.162,0,-16.6,1,0.0436,0.00054,0.384,0.888,113.315,154600,4
1742,Stuck In The Middle With You,Various Artists,6pNVhq4m3S9iNRxpwmVQZm,https://open.spotify.com/track/6pNVhq4m3S9iNRxpwmVQZm,0.745,0.616,7,-8.851,1,0.0351,0.000507,0.139,0.961,124.437,203000,4
1743,Some of These Days,Various Artists,5aNNUxye7tc9R6wVEMav0q,https://open.spotify.com/track/5aNNUxye7tc9R6wVEMav0q,0.379,0.183,0,-12.81,1,0.0382,0.234,0.078,0.434,70.03,253320,5
1744,Just the Way You Are,Billy Joel,49MHCPzvMLXhRjDantBMVH,https://open.spotify.com/track/49MHCPzvMLXhRjDantBMVH,0.589,0.453,7,-8.912,1,0.0397,2.54e-05,0.134,0.513,139.148,290573,4
1745,Ca plane pour moi,Plastic Bertrand,71yCMlsD6qbD7NmNUEoVNR,https://open.spotify.com/track/71yCMlsD6qbD7NmNUEoVNR,0.422,0.943,10,-4.365,1,0.0954,6.83e-05,0.105,0.845,165.764,182133,4
1746,i,Kendrick Lamar,69x16JmnJxuLVP9ELBoY03,https://open.spotify.com/track/69x16JmnJxuLVP9ELBoY03,0.75,0.884,1,-5.395,1,0.0634,3.57e-06,0.238,0.867,121.915,231933,4
1747,2000 Light Years From Home - (Original Single Mono Version),The Rolling Stones,1HOVoZ9LLFACeS9EBW0dvJ,https://open.spotify.com/track/1HOVoZ9LLFACeS9EBW0dvJ,0.316,0.708,9,-9.983,1,0.0672,0.000148,0.123,0.25,122.702,284267,4
1748,It's Too Soon to Know,Various Artists,3Hc0Llh1MA9dC1pChTnkQm,https://open.spotify.com/track/3Hc0Llh1MA9dC1pChTnkQm,0.36,0.0653,2,-13.252,1,0.0348,8.05e-05,0.112,0.211,73.059,178507,5
1749,Hyph Mngo,Joy Orbison,0AsLPgOu1bP5icavaB1Z7D,https://open.spotify.com/track/0AsLPgOu1bP5icavaB1Z7D,0.485,0.552,1,-9.202,1,0.0543,0.0455,0.0864,0.0676,139.792,338413,4
1750,Wrecking Ball,Miley Cyrus,2vwlzO0Qp8kfEtzTsCXfyE,https://open.spotify.com/track/2vwlzO0Qp8kfEtzTsCXfyE,0.53,0.422,5,-6.262,1,0.0342,0.0,0.107,0.349,119.964,221360,4
1751,Welcome To The Terrordome,Public Enemy,3CvIDqoQ5pBgtAJrOCWbGv,https://open.spotify.com/track/3CvIDqoQ5pBgtAJrOCWbGv,0.751,0.782,7,-12.662,1,0.256,0.0,0.277,0.587,110.721,325840,4
1752,YMCA,Village People,57Fb4ssvtUDe00VaxgjhUb,https://open.spotify.com/track/57Fb4ssvtUDe00VaxgjhUb,0.723,0.969,6,-4.516,1,0.142,0.0,0.115,0.728,126.653,286800,4
1753,Across 110th Street (Taken From 'Across 110th Street'),Bobby Womack,10EqvxprQdROcaB2LGbYL7,https://open.spotify.com/track/10EqvxprQdROcaB2LGbYL7,0.472,0.561,11,-15.723,0,0.0582,2.09e-06,0.113,0.5,109.825,230267,4
1754,Daft Punk Is Playing At My House,LCD Soundsystem,66TH63hQPeCBZqVDYu1stk,https://open.spotify.com/track/66TH63hQPeCBZqVDYu1stk,0.925,0.923,7,-4.441,1,0.0418,0.000152,0.0417,0.975,135.971,316827,4
1755,Good Intentions Paving Company,Joanna Newsom,0vG7kcgxOpTsfTQbogRTni,https://open.spotify.com/track/0vG7kcgxOpTsfTQbogRTni,0.501,0.355,5,-11.187,1,0.0602,0.499,0.0963,0.315,90.857,421987,4
1756,The Heart Of Saturday Night,Tom Waits,1Zz0A3B4DON5XggbJm2Mjv,https://open.spotify.com/track/1Zz0A3B4DON5XggbJm2Mjv,0.627,0.11,2,-18.081,1,0.0395,6.46e-06,0.152,0.542,94.013,233093,4
1757,Mr. Sandman,Various Artists,58DLhiqRDUnB6jBU0Gmrt4,https://open.spotify.com/track/58DLhiqRDUnB6jBU0Gmrt4,0.647,0.179,9,-15.719,1,0.0556,0.0,0.175,0.552,108.579,144907,4
1758,Hells Bells,AC/DC,1LsiaD8GLyIuXtqeEPO5sg,https://open.spotify.com/track/1LsiaD8GLyIuXtqeEPO5sg,0.391,0.874,4,-4.746,0,0.0473,0.00625,0.251,0.24,107.572,312400,4
1759,The Way We Get By,Various Artists,0ZXmGxjtSWLD1KO8IRRuIg,https://open.spotify.com/track/0ZXmGxjtSWLD1KO8IRRuIg,0.725,0.662,9,-5.819,0,0.0291,5.3e-06,0.125,0.591,75.009,160747,4
1760,Interstellar Overdrive - 2011 Remastered Version,Pink Floyd,0FOHxaEjmFeuCgMUEGxiok,https://open.spotify.com/track/0FOHxaEjmFeuCgMUEGxiok,0.23,0.704,2,-10.975,1,0.0569,0.87,0.112,0.309,94.371,580716,4
1761,Downhearted Blues,Bessie Smith,3DtAes6km3k23AX3UPErJ4,https://open.spotify.com/track/3DtAes6km3k23AX3UPErJ4,0.646,0.135,0,-9.895,1,0.0482,0.452,0.126,0.551,82.716,206573,4
1762,Solo Flight,Charlie Christian,3NikCwlCPkNDsnTkSAjqMB,https://open.spotify.com/track/3NikCwlCPkNDsnTkSAjqMB,0.621,0.356,0,-10.341,1,0.0367,0.901,0.108,0.862,177.734,166889,4
1763,Backstreets,Bruce Springsteen,4cKJsZuzbNBpdxeMC9pBQG,https://open.spotify.com/track/4cKJsZuzbNBpdxeMC9pBQG,0.225,0.889,7,-4.371,1,0.0337,0.734,0.379,0.599,96.02,390147,4
1764,My Lovin' (You're Never Gonna Get It),En Vogue,3R97rNX7JnmshCWBwOSFet,https://open.spotify.com/track/3R97rNX7JnmshCWBwOSFet,0.767,0.839,8,-5.519,1,0.0613,9.31e-06,0.111,0.461,98.055,281613,4
1765,I Want to Be a Cowboy's Sweetheart,Various Artists,0rJuMPdO9pwoXrj9Zo2zQB,https://open.spotify.com/track/0rJuMPdO9pwoXrj9Zo2zQB,0.697,0.325,7,-10.752,1,0.0361,3.94e-05,0.142,0.861,121.47,187360,4
