,Song,Artist,ID,Link,Danceability,Energy,Key,Loudness,Mode,Speechiness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time Signature
60,New Truck,Dylan Scott,4MDYIbU6I29Gjiu7JATTIJ,https://open.spotify.com/track/4MDYIbU6I29Gjiu7JATTIJ,0.529,0.755,1,-5.864,1,0.125,0.0,0.0986,0.528,96.86,174360,4
61,Vette Motors,YoungBoy Never Broke Again,02Cj2MSlERvamTj5A7Zi0P,https://open.spotify.com/track/02Cj2MSlERvamTj5A7Zi0P,0.83,0.644,10,-5.431,0,0.407,0.0,0.11,0.227,155.103,173419,4
62,Fuck Da Industry,YoungBoy Never Broke Again,2kMaRdtDUsqpcuKhxLZxR5,https://open.spotify.com/track/2kMaRdtDUsqpcuKhxLZxR5,0.808,0.678,5,-6.492,0,0.34,0.0,0.107,0.599,159.063,181132,4
63,Free Mind,Tems,2mzM4Y0Rnx2BDZqRnhQ5Q6,https://open.spotify.com/track/2mzM4Y0Rnx2BDZqRnhQ5Q6,0.562,0.463,6,-7.478,1,0.0787,0.000145,0.157,0.416,125.15,247579,5
64,Whiskey On You,Nate Smith,6Tm4Io4ct4w14nB1EUzsY3,https://open.spotify.com/track/6Tm4Io4ct4w14nB1EUzsY3,0.479,0.768,8,-5.204,1,0.0312,0.00549,0.121,0.576,110.024,183790,4
65,Victoria’s Secret,Jax,4svaKoxMMP7ImmKrD5hfQu,https://open.spotify.com/track/4svaKoxMMP7ImmKrD5hfQu,0.586,0.556,6,-7.639,1,0.0592,0.0,0.0836,0.517,167.018,176125,4
66,CHURCH GIRL,Beyoncé,2mqTtvbKxH7SoEQ2oGAnsA,https://open.spotify.com/track/2mqTtvbKxH7SoEQ2oGAnsA,0.792,0.919,2,-5.688,1,0.276,5.1e-06,0.368,0.22,92.028,224473,4
67,Free Dem 5's,YoungBoy Never Broke Again,7gGxciSaKoeDJIC7dcaVFC,https://open.spotify.com/track/7gGxciSaKoeDJIC7dcaVFC,0.762,0.65,0,-6.018,1,0.36,0.0,0.217,0.503,79.488,169057,4
68,Unstoppable,Sia,1yvMUkIOTeUNtNWlWRgANS,https://open.spotify.com/track/1yvMUkIOTeUNtNWlWRgANS,0.468,0.779,9,-4.839,1,0.0779,0.000373,0.101,0.26,173.799,217747,4
69,Bones,Imagine Dragons,0HqZX76SFLDz2aW8aiqi7G,https://open.spotify.com/track/0HqZX76SFLDz2aW8aiqi7G,0.773,0.742,5,-3.678,0,0.046,0.0,0.0754,0.571,114.071,165265,4
70,Tarot,Bad Bunny,41oY4WCTj5kccfesTVFnvN,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN,0.795,0.684,11,-3.971,0,0.0419,0.0,0.658,0.419,114.011,237895,4
71,Wishful Drinking (with Sam Hunt),Ingrid Andress,3HGnIIdHYIbkowzLk8UHbE,https://open.spotify.com/track/3HGnIIdHYIbkowzLk8UHbE,0.678,0.528,10,-7.317,1,0.0551,0.0,0.0734,0.614,79.018,194545,4
72,Last Last,Burna Boy,5YbPxJwPfrj7uswNwoF1pJ,https://open.spotify.com/track/5YbPxJwPfrj7uswNwoF1pJ,0.795,0.565,3,-4.457,0,0.0948,0.0,0.0802,0.55,87.925,172342,4
73,Dah Dah DahDah,Nardo Wick,2TSfStvlAMLw89u3tali79,https://open.spotify.com/track/2TSfStvlAMLw89u3tali79,0.66,0.373,11,-10.234,1,0.595,0.0,0.106,0.35,167.912,151776,4
74,Lost Soul Survivor,YoungBoy Never Broke Again,6YiJ0k1DBJl59WorlLOEK5,https://open.spotify.com/track/6YiJ0k1DBJl59WorlLOEK5,0.661,0.679,11,-5.558,0,0.282,0.0,0.087,0.723,147.983,155676,4
75,With A Woman You Love,Justin Moore,20WKHeDTmtU0Zj4sNB8aoA,https://open.spotify.com/track/20WKHeDTmtU0Zj4sNB8aoA,0.611,0.756,7,-4.483,1,0.0288,0.0,0.378,0.596,106.012,167376,4
76,Cooped Up (with Roddy Ricch),Post Malone,7DwcBgdzqhFJltEaV1XF81,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81,0.669,0.773,0,-5.619,1,0.153,0.0,0.113,0.377,93.923,185857,4
77,Truth About You,Mitchell Tenpenny,4Qum1kECNQrpREev5fvAQ4,https://open.spotify.com/track/4Qum1kECNQrpREev5fvAQ4,0.492,0.708,10,-4.639,1,0.0334,0.0,0.12,0.697,161.989,203037,4
78,ENERGY (feat. Beam),Beyoncé,0314PeD1sQNonfVWix3B2K,https://open.spotify.com/track/0314PeD1sQNonfVWix3B2K,0.903,0.519,1,-9.151,1,0.26,0.000106,0.155,0.587,114.991,116727,4
79,At the End of a Bar,Chris Young,2NYOqKy4VX6dqVtzrv1Cx9,https://open.spotify.com/track/2NYOqKy4VX6dqVtzrv1Cx9,0.494,0.782,3,-4.228,1,0.0409,0.0,0.0921,0.44,75.932,186373,4
